地理,簡單,這個國家有「千湖之國」的美譽，位於北歐，首都是赫爾辛基，以桑拿浴、聖誕老人村和極光而聞名。請問這個國家是？,芬蘭
地理,簡單,這座山是中國最高的山峰，也是世界最高峰，海拔8844.43米，位於中國與尼泊爾邊界。請問這座山的名稱是？,珠穆朗瑪峰/聖母峰/Mount Everest
地理,簡單,這條河流是世界上最長的河流，流經非洲東北部，對古埃及文明的發展起到至關重要的作用。請問這條河流的名稱是？,尼羅河
地理,簡單,這個城市被稱為「東方之珠」，有維多利亞港和太平山等著名景點，是一個國際金融中心。請問這個城市是？,香港
地理,簡單,這個島嶼國家位於亞洲東部，由本州、四國、九州和北海道四個主要島嶼組成，富士山是其著名地標。請問這個國家是？,日本
地理,中等,這個峽灣位於挪威西部，全長約 15 公里，兩側是高達 1000 米的懸崖，被聯合國教科文組織列為世界自然遺產。請問這個峽灣的名稱是？,蓋朗厄爾峽灣
地理,中等,這個沙漠橫跨非洲北部多個國家，是世界上最大的熱沙漠，面積約 920 萬平方公里，約等於中國的面積。請問這個沙漠的名稱是？,撒哈拉沙漠
地理,中等,這個水道連接地中海和紅海，大大縮短了歐洲和亞洲之間的航程，1869年正式通航，曾多次成為國際衝突的焦點。請問這個水道的名稱是？,蘇伊士運河
地理,中等,這個城市建於水上，有118個小島組成，以其運河、貢多拉和聖馬可廣場聞名，每年都會舉辦面具節。請問這個意大利城市是？,威尼斯
地理,中等,這條板塊邊界線經過加利福尼亞，是太平洋板塊和北美板塊的交界處，常發生地震，1906年曾造成舊金山大地震。請問這條斷層帶的名稱是？,聖安德烈亞斯斷層
地理,困難,這個位於南美洲的高原湖泊橫跨秘魯和玻利維亞，海拔3812米，面積8372平方公里，是世界上位置最高的大型湖泊之一。請問這個湖泊的名稱是？,的的喀喀湖
地理,困難,這個自然現象是地球磁場偏離地理南北極的角度，對航海和定向有重要影響，在不同地點和時間有不同的數值。請問這個現象的名稱是？,磁偏角
地理,困難,這個最初由弗拉基米爾·廓本提出的氣候分類系統，根據溫度和降水量將全球氣候分為五大類，是目前使用最廣泛的氣候分類系統。請問這個分類系統的名稱是？,廓本氣候分類系統
地理,困難,這種地貌形成於石灰岩地區，由於石灰岩被雨水侵蝕形成，特徵是有溶洞、石筍、暗河等，中國廣西和雲南地區有許多這種地貌。請問這種地貌的名稱是？,喀斯特地貌
地理,困難,這個地理學術語描述的是城市中心區溫度比周邊鄉村地區高的現象，主要由人工表面、建築密度和城市活動產生的熱量導致。請問這個現象的名稱是？,城市熱島效應
文學,簡單,這部中國古典小說描述了唐僧師徒四人西行取經的故事，被譽為中國四大名著之一。請問這部小說的名稱是？,西遊記
文學,簡單,這位英國作家創作了《哈利波特》系列小說，講述了魔法少年哈利在霍格華茲魔法學校的冒險故事。請問這位作家是誰？,J.K.羅琳
文學,簡單,這部經典童話故事講述了一位木偶渴望成為真正的男孩，最後因善良和勇敢而實現願望的故事。請問這個故事的名稱是？,木偶奇遇記
文學,簡單,這部描寫三國時期歷史的中國古典小說，以劉備、關羽、張飛桃園三結義開始，描繪了魏蜀吳三國的政治和軍事鬥爭。請問這部小說的名稱是？,三國演義
文學,簡單,這位丹麥童話作家創作了《賣火柴的小女孩》、《醜小鴨》、《海的女兒》等經典童話故事。請問這位作家是誰？,安徒生
文學,中等,這部英國小說描述了住在沼澤地區的皮普從小男孩成長為紳士的故事，探討了階級、財富和道德等主題。請問這部由查爾斯·狄更斯所著的作品是？,遠大前程
文學,中等,這位美國作家以短篇小說聞名，作品常帶有出人意料的結局，如《麥琪的禮物》講述了一對貧困夫妻為彼此準備聖誕禮物的故事。請問這位作家是誰？,歐·亨利
文學,中等,這部日本小說描述了一位教授與藝妓之間的複雜情感，背景設定在明治時代的京都，被視為日本文學的經典之作。請問這部由谷崎潤一郎所著的小說是？,細雪
文學,中等,這位英國詩人和劇作家被譽為「英國文學之父」，寫作了《坎特伯雷故事集》，對英國文學和英語發展有重大影響。請問這位作家是誰？,杰弗里·喬叟
文學,中等,這部俄國小說描述了安娜與貴族軍官伏倫斯基的婚外情，最終因無法承受社會壓力而自殺。請問這部由托爾斯泰創作的小說是？,安娜·卡列尼娜
文學,困難,這位美國詩人以精煉的風格和死亡、自然等主題聞名，生前僅出版了十餘首詩，大部分作品在其死後才被發現並出版。請問這位19世紀女詩人是誰？,艾米莉·狄金森
文學,困難,這部長篇小說描述了幾代人在拉丁美洲虛構小鎮馬孔多的生活，被視為魔幻現實主義的代表作，為作者贏得了諾貝爾文學獎。請問這部由加布里埃爾·加西亞·馬爾克斯創作的小說是？,百年孤獨
文學,困難,這種日本傳統詩歌形式由5、7、5、7、7共31個音節組成，常表達對自然和季節的感受，起源於平安時代。請問這種詩歌形式的名稱是？,和歌
文學,困難,這位愛爾蘭作家的作品《尤利西斯》以意識流手法描寫了布魯姆在都柏林一天的經歷，被視為現代主義文學的代表作。請問這位作家是誰？,詹姆斯·喬伊斯
文學,困難,這部法國小說描述了一個年輕人在巴黎社會中的奮鬥與墮落，是巴爾扎克《人間喜劇》系列的開篇之作，對19世紀法國社會有深刻描繪。請問這部小說的名稱是？,高老頭
文化,簡單,這個中國傳統節日在農曆正月十五日慶祝，人們會賞花燈、猜燈謎、吃湯圓，象徵團圓和美滿。請問這個節日的名稱是？,元宵節
